SE Fabric Reference #,Supplier #,Country of Origin,Supplier name (auto-fill),Supplier Fabric Style #,"Construction (K, W, O)",If Knit -              Warp or Circular,If Woven - dimensional construction - yarn count,Fabric type,Fiber 1,% 1,Fiber 2,% 2,Fiber 3,% 3,Xfoot check,Weight ,Wt UOM,Cuttable Width,Width UOM,"Cost
(RMB)",Cost (USD),Cost UOM,Stock or Mill,MOQ,MOQ UOM,MCQ,MCQ UOM,MOQ - MCQ,Avail in greige?,"Other construction notes (ie. yarn count, good for printing etc)",Major Customers,,,,,,,,,,,,
WCN00700412,CN007,China,Fuhua,CQW224001S,Woven,,,Twill,polyester,100,,,,,100,180,GSM,144,CM,19.8,3.05,meter,Mill,0,,,,"1000m for solid ,2000m for printed",,"MOQ 4000m if no greige
500-1000 surcharge for small lot dye",,,100%poly,,,,,,,,kg,Modal,
WCN00700413,CN007,China,Fuhua,CST432001S,Woven,,,other,polyester,100,,,,,100,124,GSM,145,CM,31,4.77,meter,Mill,0,,,,"1000m for solid ,2000m for printed",,"MOQ 4000m if no greige
500-1000 surcharge for small lot dye",,,100%Poly,,,,,,,,,,
WCN00700414,CN007,China,Fuhua,CNT021003S,Woven,,,other,Nylon,100,,,,,100,77,GSM,145,CM,13.6,2.09,meter,Mill,0,,,,"1000m for solid ,2000m for printed",,"MOQ 4000m if no greige
500-1000 surcharge for small lot dye",,,100%Nylon,,,,,,,,,,
WCN00700415,CN007,China,Fuhua,XPD174001S,Woven,,,other,polyester,100,,,,,100,,GSM,,CM,38,5.85,meter,Mill,0,,,,"1000m for solid ,2000m for printed",,"MOQ 4000m if no greige
500-1000 surcharge for small lot dye",,,100%Poly,,,,,,,,,,
WCN00700416,CN007,China,Fuhua,CPW227002S,Woven,,,Twill,polyester,100,,,,,100,90,GSM,144,CM,12,1.85,meter,Mill,0,,,,"1000m for solid ,2000m for printed",,"MOQ 4000m if no greige
500-1000 surcharge for small lot dye",,,100%Poly,,,,,,,,,,
WCN00700417,CN007,China,Fuhua,CPW129002S,Woven,,,Twill,polyester,100,,,,,100,160,GSM,142,CM,28.9,4.45,meter,Mill,0,,,,"1000m for solid ,2000m for printed",,"MOQ 4000m if no greige
500-1000 surcharge for small lot dye",,,100%Poly,,,,,,,,,,
WCN00700418,CN007,China,Fuhua,CPW318002S,Woven,,,other,polyester,100,,,,,100,130,GSM,143,CM,12.5,1.92,meter,Mill,0,,,,"1000m for solid ,2000m for printed",,"MOQ 4000m if no greige
500-1000 surcharge for small lot dye",,,100%Poly,,,,,,,,,,
WCN00700419,CN007,China,Fuhua,XNH141002S,Woven,,,other,Nylon,100,,,,,100,29,GSM,143,CM,15.6,2.40,meter,Mill,0,,,,"1000m for solid ,2000m for printed",,"MOQ 4000m if no greige
500-1000 surcharge for small lot dye",,,100%Nylon,,,,,,,,,,
WCN00700420,CN007,China,Fuhua,LQT000004S,Woven,,,other,polyester,100,,,,,100,100,GSM,143,CM,14.7,2.26,meter,Mill,0,,,,"1000m for solid ,2000m for printed",,"MOQ 4000m if no greige
500-1000 surcharge for small lot dye",,,100%Poly,,,,,,,,,,
WCN00700421,CN007,China,Fuhua,XPT124003S,Woven,,,other,polyester,100,,,,,100,80,GSM,140,CM,10,1.54,meter,Mill,0,,,,"1000m for solid ,2000m for printed",,"MOQ 4000m if no greige
500-1000 surcharge for small lot dye",,,100%Poly,,,,,,,,,,
WCN00700422,CN007,China,Fuhua,CNT959000S,Woven,,,other,Nylon,100,,,,,100,45,GSM,142,CM,17,2.62,meter,Mill,0,,,,"1000m for solid ,2000m for printed",,"MOQ 4000m if no greige
500-1000 surcharge for small lot dye",,,100%Nylon,,,,,,,,,,
WCN00700423,CN007,China,Fuhua,CPW314001S,Woven,,,other,polyester,100,,,,,100,309,GSM,142,CM,24.9,3.83,meter,Mill,0,,,,"1000m for solid ,2000m for printed",,"MOQ 4000m if no greige
500-1000 surcharge for small lot dye",,,100%Poly,,,,,,,,,Tencel,
WCN00700424,CN007,China,Fuhua,CPT336000S-1,Woven,,,other,polyester,87,Spandex,13,,,100,141,GSM,141,CM,36.6,5.63,meter,Mill,0,,,,"1000m for solid ,2000m for printed",,"MOQ 4000m if no greige
500-1000 surcharge for small lot dye",,,87%Poly13%Spandex,,,,,,,,,bamboo,
WCN00700425,CN007,China,Fuhua,CPT222003S-1,Woven,,,other,polyester,100,,,,,100,105,GSM,142,CM,20.1,3.09,meter,Mill,0,,,,"1000m for solid ,2000m for printed",,"MOQ 4000m if no greige
500-1000 surcharge for small lot dye",,,100%Poly,,,,,,,,,linen,
WCN00800001,CN008,China,RenShen Textile,DQTC133X72,Woven,,,Plain Weave,polyester,65,cotton,35,,,100,,,57/58,inches,10.5,1.64,meter,Stock,0,,0,,"stock fabric, 2015/12",,,,,,,,,,,,,,,
WCN00800002,CN008,China,RenShen Textile,RS037,Woven,,,Plain Weave,cotton,100,,,,,100,,,57/58,inches,,2.42,meter,Stock,0,,0,,"stock fabric, 2015/12",,,,,,,,,,,,,,,
WCN00800003,CN008,China,RenShen Textile,RS020,Woven,,,Plain Weave,cotton,100,,,,,100,,,145,cm,,1.95,meter,Stock,0,,0,,"stock fabric, 2015/12",,,,,,,,,,,,,,,
WCN00800662,CN008,China,RenShen Textile,rayon twill,Woven,,,Twill,rayon ,80,cotton,20,,,100,,,150,CM,23,3.54,meter,Mill,0,,,,,,,,,,,,,,,,,,,
WCN00800699,CN008,China,RenShen Textile,,Woven,,,Plain Weave,cotton,100,,,,,100,140,gsm,140,cm,16,2.46,meter,Mill,0,,,,,METER,"stock fabric, pls refer color card in drive",,,,100%cotton,,,,,,,,,
WCN01300465,CN013,China,Xiaohu textile,LV307-1,Woven,,,Muslin,polyester,100,,,,,100,150,gsm,150,CM,18,2.77,,Stock,0,,0,,stock fabric 2016/01,,,,,,,,,,,,,,,
WCN01300466,CN013,China,Xiaohu textile,LV307-2,Woven,,,Muslin,polyester,100,,,,,100,150,gsm,150,CM,18,2.77,,Stock,0,,0,,stock fabric 2016/01,,,,,,,,,,,,,,,
WCN01300467,CN013,China,Xiaohu textile,LV307-3,Woven,,,Muslin,polyester,100,,,,,100,150,gsm,150,CM,18,2.77,,Stock,0,,0,,stock fabric 2016/01,,,,,,,,,,,,,,,
WCN01300468,CN013,China,Xiaohu textile,LV283-2,Woven,,,Muslin,polyester,100,,,,,100,150,gsm,150,CM,18,2.77,,Stock,0,,0,,stock fabric 2016/01,,,,,,,,,,,,,,,
WCN01300469,CN013,China,Xiaohu textile,LV283-3,Woven,,,Muslin,polyester,100,,,,,100,150,gsm,150,CM,18,2.77,,Stock,0,,0,,stock fabric 2016/01,,,,,,,,,,,,,,,
WCN01300470,CN013,China,Xiaohu textile,LV254-2,Woven,,,Muslin,polyester,100,,,,,100,150,gsm,150,CM,18,2.77,,Stock,0,,0,,stock fabric 2016/01,,,,,,,,,,,,,,,
WCN01300471,CN013,China,Xiaohu textile,LV309-1,Woven,,,Muslin,polyester,100,,,,,100,150,gsm,150,CM,18,2.77,,Stock,0,,0,,stock fabric 2016/01,,,,,,,,,,,,,,,
WCN01300472,CN013,China,Xiaohu textile,LV309-1,Woven,,,Muslin,polyester,100,,,,,100,150,gsm,150,CM,18,2.77,,Stock,0,,0,,stock fabric 2016/01,,,,,,,,,,,,,,,
WCN01300482,CN013,China,Xiaohu textile,G1432-20140-13#,Woven,circular,,Muslin,polyester,100,,,,,100,150,gsm,150,CM,18,,,Stock,0,,0,,"stock fabric, have milticolors to choose",,,,100%polyester,,,,,,,,,,,
WCN01400197,CN014,China,YI WAN textile,8015,Woven,,,Chiffon,polyester,100,,,,,100,110,GSM,150,CM,7,1.08,meter,Stock,0,,0,,"stock fabric, have color swatch",,,,,100%polyester,,,,,,,,,,
WCN01400198,CN014,China,YI WAN textile,8051,Woven,,,Mess,polyester,100,,,,,100,120,GSM,150,CM,8.8,1.35,meter,Stock,0,,0,,"stock fabric, have color swatch",,,,,100%polyester,,,,,,,,,,
WCN01400199,CN014,China,YI WAN textile,8009,Woven,,,Chiffon,polyester,100,,,,,100,85,GSM,150,CM,4.7,0.72,meter,Stock,0,,0,,"stock fabric, have color swatch",,,,,100%polyester,,,,,,,,,,
WCN01400228,CN014,China,YI WAN textile,8037,Woven,,,Crepe,polyester,100,,,,,100,60,GSM,150,CM,7,1.08,meter,Stock,0,,0,,"stock fabric, have color swatch",,,,,100%polyester,,,,,,,,,,
WCN01400229,CN014,China,YI WAN textile,8014,Woven,,,Chiffon,polyester,100,,,,,100,85,GSM,150,CM,7.5,1.15,meter,Stock,0,,0,,"stock fabric, have color swatch",,,,,100%polyester,,,,,,,,,,
WCN02700289,CN027,China,Cheng Yu,12# 14# 15#,Woven,,,Oxford,Cotton,100,,,,,100,95,GSM,144,CM,16,2.46,meter,Stock,0,,0,,"stock fabric 2016/2 ,have color cards",,,,,100%Cotton,,,,,,,,,,
WCN02700290,CN027,China,Cheng Yu,507# 508#,Woven,,,Oxford,Cotton,100,,,,,100,95,GSM,144,CM,16,2.46,meter,Stock,0,,0,,"stock fabric 2016/2 ,have color cards",,,,,100%Cotton,,,,,,,,,,
WCN02700291,CN027,China,Cheng Yu,509#,Woven,,,Gingham,Cotton,100,,,,,100,95,GSM,144,CM,16,2.46,meter,Stock,0,,0,,"stock fabric 2016/2 ,have color cards",,,,,100%Cotton,,,,,,,,,,
WCN02700292,CN027,China,Cheng Yu,407#,Woven,,,Gingham,Cotton,100,,,,,100,95,GSM,144,CM,16,2.46,meter,Stock,0,,0,,"stock fabric 2016/2 ,have color cards",,,,,100%Cotton,,,,,,,,,,
WCN02700293,CN027,China,Cheng Yu,511#,Woven,,,Gingham,Cotton,100,,,,,100,95,GSM,144,CM,16,2.46,meter,Stock,0,,0,,"stock fabric 2016/2 ,have color cards",,,,,100%Cotton,,,,,,,,,,
WCN02700294,CN027,China,Cheng Yu,512#,Woven,,,Oxford,Cotton,100,,,,,100,95,GSM,144,CM,16,2.46,meter,Stock,0,,0,,"stock fabric 2016/2 ,have color cards",,,,,100%Cotton,,,,,,,,,,
WCN02700295,CN027,China,Cheng Yu,514#,Woven,,,Oxford,Cotton,100,,,,,100,95,GSM,144,CM,16,2.46,meter,Stock,0,,0,,"stock fabric 2016/2 ,have color cards",,,,,100%Cotton,,,,,,,,,,
WCN02700296,CN027,China,Cheng Yu,501#,Woven,,,Oxford,Cotton,100,,,,,100,95,GSM,144,CM,16,2.46,meter,Stock,0,,0,,"stock fabric 2016/2 ,have color cards",,,,,100%Cotton,,,,,,,,,,
WCN02700297,CN027,China,Cheng Yu,"A5#, A6#",Woven,,,Gingham,Cotton,100,,,,,100,95,GSM,144,CM,16,2.46,meter,Stock,0,,0,,"stock fabric 2016/2 ,have color cards",,,,,100%Cotton,,,,,,,,,,
WCN02700298,CN027,China,Cheng Yu,502#,Woven,,,Gingham,Cotton,100,,,,,100,95,GSM,144,CM,16,2.46,meter,Stock,0,,0,,"stock fabric 2016/2 ,have color cards",,,,,100%Cotton,,,,,,,,,,
WCN02700299,CN027,China,Cheng Yu,A9# A10#,Woven,,,Gingham,Cotton,100,,,,,100,95,GSM,144,CM,16,2.46,meter,Stock,0,,0,,"stock fabric 2016/2 ,have color cards",,,,,100%Cotton,,,,,,,,,,
WCN02700300,CN027,China,Cheng Yu,504# 505#,Woven,,,Gingham,Cotton,100,,,,,100,95,GSM,144,CM,16,2.46,meter,Stock,0,,0,,"stock fabric 2016/2 ,have color cards",,,,,100%Cotton,,,,,,,,,,
WCN02700301,CN027,China,Cheng Yu,503#,Woven,,,Gingham,Cotton,100,,,,,100,95,GSM,144,CM,16,2.46,meter,Stock,0,,0,,"stock fabric 2016/2 ,have color cards",,,,,100%Cotton,,,,,,,,,,
WCN02700302,CN027,China,Cheng Yu,A11# A22#,Woven,,,Gingham,Cotton,100,,,,,100,95,GSM,144,CM,16,2.46,meter,Stock,0,,0,,"stock fabric 2016/2 ,have color cards",,,,,100%Cotton,,,,,,,,,,
WCN02700303,CN027,China,Cheng Yu,502#,Woven,,,Gingham,Cotton,100,,,,,100,95,GSM,144,CM,16,2.46,meter,Stock,0,,0,,"stock fabric 2016/2 ,have color cards",,,,,100%Cotton,,,,,,,,,,
WCN02700304,CN027,China,Cheng Yu,322#,Woven,,,Chambray,Cotton,100,,,,,100,90,GSM,144,CM,16,2.46,meter,Stock,0,,0,,"stock fabric 2016/2 ,have color cards",,,,,100%Cotton,,,,,,,,,,
WCN02700305,CN027,China,Cheng Yu,403#,Woven,,,Chambray,Cotton,100,,,,,100,85,GSM,144,CM,16,2.46,meter,Stock,0,,0,,"stock fabric 2016/2 ,have color cards",,,,,100%Cotton,,,,,,,,,,
WCN02700306,CN027,China,Cheng Yu,B10# B22#,Woven,,,oxford,Cotton,100,,,,,100,170,GSM,144,CM,17,2.62,meter,Stock,0,,0,,"stock fabric 2016/2 ,have color cards",,,,,100%Cotton,,,,,,,,,,
WCN02700307,CN027,China,Cheng Yu,405#,Woven,,,chambray,Cotton,100,,,,,100,100,GSM,144,CM,17,2.62,meter,Stock,0,,0,,"stock fabric 2016/2 ,have color cards",,,,,100%Cotton,,,,,,,,,,
WCN02700516,CN027,China,Cheng Yu,405#,Woven,,,Fil-A-Fil,cotton,100,,,,,100,100,gsm,144,CM,16.5,2.54,meter,Stock,0,,0,,"stock fabric, have color cards",,,100%cotton,,,,,,,,,,,,
WCN02800287,CN028,China,Thinksport,SEKK03,Woven,,,plain weave,polyester,88,spandex,12,,,100,140,GSM,160,CM,16,2.46,meter,Mill,0,,,,,,"running greige,MOQ 50kg/color, ",,,,,,,,,,,,,
WCN05500522,CN055,China,MingJing,MJ-T2#-19#,Woven,,,Chambray,cotton,100,,,,,100,,,145,CM,20,3.08,meter,Stock,0,,0,,stock fabric,,,,,,,,,,,,,,,
WCN05600523,CN056,China,XINFENG,FT815#,Woven,,,Linen,cotton,45,linen,55,,,100,,,130,cm,25,3.85,meter,Stock,0,,0,,stock fabric， have color cards,,,,,,,,,,,,,,,
WCN05600524,CN056,China,XINFENG,FO2011,Woven,,,Linen,cotton,45,linen,55,,,100,,,130,cm,17,2.62,meter,Stock,0,,0,,stock fabric， have color cards,,,,,,,,,,,,,,,
WCN05600525,CN056,China,XINFENG,ZFL12,Woven,,,Linen,cotton,45,linen,55,,,100,,,135,cm,21,3.23,meter,Stock,0,,0,,stock fabric， have color cards,,,,,,,,,,,,,,,
WCN05600526,CN056,China,XINFENG,HX2060-8#,Woven,,,Linen,cotton,85,linen,15,,,100,,,140,cm,14,2.15,meter,Stock,0,,0,,stock fabric， have color cards,,,,,,,,,,,,,,,
WCN05700527,CN057,China,JINXIU,#6008-3#,Woven,,,plain weave,cotton,50,polyester,50,,,100,,,155,cm,6.5,1.00,meter,Stock,0,,0,,stock fabric,,,,,,,,,,,,,,,
WCN05700528,CN057,China,JINXIU,# 6010-3#,Woven,,,plain weave,cotton,50,polyester,50,,,100,,,155,cm,6.5,1.00,meter,Stock,0,,0,,stock fabric,,,,,,,,,,,,,,,
WCN05700529,CN057,China,JINXIU,# 6010-5#,Woven,,,plain weave,cotton,50,polyester,50,,,100,,,155,cm,6.5,1.00,meter,Stock,0,,0,,stock fabric,,,,,,,,,,,,,,,
WCN05700530,CN057,China,JINXIU,#6026-3#,Woven,,,plain weave,cotton,50,polyester,50,,,100,,,155,cm,6.5,1.00,meter,Stock,0,,0,,stock fabric,,,,,,,,,,,,,,,
WCN05700531,CN057,China,JINXIU,#6003-6#,Woven,,,plain weave,cotton,50,polyester,50,,,100,,,155,cm,6.5,1.00,meter,Stock,0,,0,,stock fabric,,,,,,,,,,,,,,,
WCN05700532,CN057,China,JINXIU,#6006-3#,Woven,,,plain weave,cotton,50,polyester,50,,,100,,,155,cm,6.5,1.00,meter,Stock,0,,0,,stock fabric,,,,,,,,,,,,,,,
WCN05800535,CN058,China,KAITUO,KT16176,Woven,,,Denim,tencel,100,,,,,100,152,GSM,147,CM,35.5,5.46,meter,Stock,800,meter,0,,"running stock, MOQ 800m",YES,surcharge 1000RMB if less thanMOQ,,,,,,,,,,,,,
WCN05800536,CN058,China,KAITUO,KT16173,Woven,,,Denim,tencel,84,cotton,14,spandex,2,100,254,GSM,147,CM,36,5.54,meter,Mill,0,,,,10000 M,NO,,,,,,,,,,,,,,
WCN05800537,CN058,China,KAITUO,KT16171,Woven,,,Denim,Cotton,55,tencel,45,,,100,230,GSM,147,CM,42,6.46,meter,Stock,800,meter,0,,"running stock, MOQ 800m",YES,surcharge 1000RMB if less thanMOQ,,,,,,,,,,,,,
WCN05800538,CN058,China,KAITUO,KT15812,Woven,,,Denim,tencel,94,linen,6,,,100,127,GSM,142,CM,39,6.00,meter,Stock,800,meter,0,,"running stock, MOQ 800m",YES,surcharge 1000RMB if less thanMOQ,,,,,,,,,,,,,
WCN05800539,CN058,China,KAITUO,KT16316,Woven,,,Denim,VISCOSE,55,tencel,45,,,100,105,GSM,142,CM,36,5.54,meter,Stock,800,meter,0,,"running stock, MOQ 800m",YES,surcharge 1000RMB if less thanMOQ,,,,,,,,,,,,,
WCN05800540,CN058,China,KAITUO,KT16007,Woven,,,Denim,VISCOSE,100,,,,,100,132,GSM,156,CM,29,4.46,meter,Stock,800,meter,0,,"running stock, MOQ 800m",YES,surcharge 1000RMB if less thanMOQ,,,,,,,,,,,,,
WCN05800541,CN058,China,KAITUO,KT16310,Woven,,,Denim,tencel,100,,,,,100,108,GSM,140,CM,27,4.15,meter,Stock,800,meter,0,,"running stock, MOQ 800m",YES,surcharge 1000RMB if less thanMOQ,,,,,,,,,,,,,
WCN05800542,CN058,China,KAITUO,KT16372,Woven,,,Denim,tencel,100,,,,,100,98,GSM,142,CM,34,5.23,meter,Mill,0,,,,5000 M,NO,,,,,,,,,,,,,,
WCN05800543,CN058,China,KAITUO,KT15813,Woven,,,Denim,tencel,92,linen,8,,,100,191,GSM,142,CM,39.5,6.08,meter,Mill,0,,,,3000 M,NO,,,,,,,,,,,,,,
WCN05800544,CN058,China,KAITUO,KT16530,Woven,,,Denim,VISCOSE,100,,,,,100,69,GSM,132,CM,35,5.38,meter,Stock,800,meter,0,,"running stock, MOQ 800m",YES,surcharge 1000RMB if less thanMOQ,,,,,,,,,,,,,
WCN05800545,CN058,China,KAITUO,KT16509,Woven,,,Denim,tencel,100,,,,,100,100,GSM,140,CM,34,5.23,meter,Mill,0,,,,5000 M,NO,,,,,,,,,,,,,,
WCN05800546,CN058,China,KAITUO,KT15810,Woven,,,Denim,tencel,89,linen,11,,,100,152,GSM,142,CM,37,5.69,meter,Mill,0,,,,3000 M,NO,,,,,,,,,,,,,,
WCN05800547,CN058,China,KAITUO,KT16251,Woven,,,Plain Weave,VISCOSE,100,,,,,100,60,GSM,120,CM,35,5.39,meter,Stock,800,meter,0,,"running stock, MOQ 800m",YES,surcharge 1000RMB if less thanMOQ,,,,,,,,,,,,,
WCN05800548,CN058,China,KAITUO,KT16406,Woven,,,Denim,Tencel,70,Linen,30,,,100,179,gsm,142,CM,42,6.46,meter,Mill,0,,,,,NO,,,,,,,,,,,,,,
WCN05800549,CN058,China,KAITUO,KT16545,Woven,,,Denim,Cotton,55,Tencel,45,,,100,176,gsm,142,CM,36.5,5.62,meter,Mill,0,,,,10000 M,NO,,,,,,,,,,,,,,
WCN05800550,CN058,China,KAITUO,KT16405,Woven,,,Denim,Tencel,66,Linen,34,,,100,176,GSM,142,CM,43,6.62,meter,Mill,0,,,,10000 M,NO,,,,,,,,,,,,,,
WCN05800551,CN058,China,KAITUO,KT16550,Woven,,,Denim,Tencel,100,,,,,100,152,GSM,142,CM,38,5.85,meter,Mill,0,,,,10000 M,NO,,,,,,,,,,,,,,
WCN05800552,CN058,China,KAITUO,KT16401,Woven,,,Denim,Tencel,60,Linen,40,,,100,189,GSM,142,CM,43,6.62,meter,Mill,,,,,10000 M,NO,,,,,,,,,,,,,,
WCN05800553,CN058,China,KAITUO,KT16549,Woven,,,Denim,tencel,100,,,,,100,189,GSM,142,CM,37,5.69,meter,Mill,,,,,10000 M,NO,,,,,,,,,,,,,,
WCN05800554,CN058,China,KAITUO,KT16402,Woven,,,Denim,tencel,78,linen,22,,,100,186,GSM,142,CM,42,6.46,meter,Mill,,,,,10000 M,NO,,,,,,,,,,,,,,
WCN05800555,CN058,China,KAITUO,KT16403,Woven,,,Denim,tencel,73,linen,27,,,100,159,GSM,142,CM,42,6.46,meter,Mill,,,,,10000 M,NO,,,,,,,,,,,,,,
WCN05800556,CN058,China,KAITUO,KT16548,Woven,,,Denim,tencel,100,,,,,100,210,GSM,142,CM,38,5.85,meter,Mill,,,,,10000 M,NO,,,,,,,,,,,,,,
WCN05900560,CN059,China,Mozartex,14F004-1,Woven,,,Denim,tencel,66,cotton,34,,,100,182,GSM,148,CM,,3.55,meter,Mill,,,,,"running greige, this price based on MOQ3000M/color,
25% upcharge for MCQ 1000m， 30% upcharge for MCQ 500M, don't accept order less than 500m",YES,,,,,,,,,,,,,,
WCN05900561,CN059,China,Mozartex,15F056-01,Woven,,,Denim,tencel,100,,,,,100,124,GSM,153,CM,,3.40,meter,Mill,,,,,"running greige, this price based on MOQ3000M/color,
25% upcharge for MCQ 1000m， 30% upcharge for MCQ 500M, don't accept order less than 500m",YES,,,,,,,,,,,,,,
WCN05900562,CN059,China,Mozartex,14F009-01,Woven,,,Denim,cotton,61,tencel,39,,,100,152,GSM,148,CM,,3.20,meter,Mill,,,,,"running greige, this price based on MOQ3000M/color,
25% upcharge for MCQ 1000m， 30% upcharge for MCQ 500M, don't accept order less than 500m",YES,,,,,,,,,,,,,,
WCN05900563,CN059,China,Mozartex,14F003-01,Woven,,,Denim,tencel,100,,,,,100,181,gsm,148,CM,,3.55,meter,Mill,,,,,"running greige, this price based on MOQ3000M/color,
25% upcharge for MCQ 1000m， 30% upcharge for MCQ 500M, don't accept order less than 500m",YES,,,,,,,,,,,,,,
WCN05900564,CN059,China,Mozartex,3MFT186,Woven,,,Denim,tencel,63,cotton,37,,,100,210,gsm,147,CM,,3.40,meter,Mill,,,,,"running greige, this price based on MOQ3000M/color,
25% upcharge for MCQ 1000m， 30% upcharge for MCQ 500M, don't accept order less than 500m",YES,,,,,,,,,,,,,,
WCN05900565,CN059,China,Mozartex,AF042-01,Woven,,,Denim,tencel,63,cotton,37,,,100,206,gsm,145,CM,,3.60,meter,Mill,,,,,"running greige, this price based on MOQ3000M/color,
25% upcharge for MCQ 1000m， 30% upcharge for MCQ 500M, don't accept order less than 500m",YES,,,,,,,,,,,,,,
WCN05900566,CN059,China,Mozartex,AF040-01,Woven,,,Denim,cotton,53,tencel,47,,,100,153,gsm,152,CM,,3.00,meter,Mill,,,,,"running greige, this price based on MOQ3000M/color,
25% upcharge for MCQ 1000m， 30% upcharge for MCQ 500M, don't accept order less than 500m",YES,,,,,,,,,,,,,,
WCN05900567,CN059,China,Mozartex,7F022,Woven,,,Denim,tencel,100,,,,,100,158,gsm,147,CM,,3.35,meter,Mill,,,,,"running greige, this price based on MOQ3000M/color,
25% upcharge for MCQ 1000m， 30% upcharge for MCQ 500M, don't accept order less than 500m",YES,,,,,,,,,,,,,,
WCN05900568,CN059,China,Mozartex,3MFT185,Woven,,,Denim,tencel,100,,,,,100,201,gsm,148,CM,,3.10,meter,Mill,,,,,"running greige, this price based on MOQ3000M/color,
25% upcharge for MCQ 1000m， 30% upcharge for MCQ 500M, don't accept order less than 500m",YES,,,,,,,,,,,,,,
WCN05900569,CN059,China,Mozartex,8F069,Woven,,,Denim,tencel,100,,,,,100,205,gsm,150,CM,,3.60,meter,Mill,,,,,"running greige, this price based on MOQ3000M/color,
25% upcharge for MCQ 1000m， 30% upcharge for MCQ 500M, don't accept order less than 500m",YES,,,,,,,,,,,,,,
WCN05900570,CN059,China,Mozartex,9F030,Woven,,,Denim,tencel,100,,,,,100,205,gsm,150,CM,,3.60,meter,Mill,,,,,"running greige, this price based on MOQ3000M/color,
25% upcharge for MCQ 1000m， 30% upcharge for MCQ 500M, don't accept order less than 500m",YES,,,,,,,,,,,,,,
WCN06100611,CN061,China,XingTao,303,Woven,,,Chambray,tencel,100,,,,,100,145,GSM,140,CM,19.8,3.05,meter,Mill,,,,,,running greige,,,,,,,,,,,,,,
WCN06400614,CN064,China,OUKA,V50-08,Woven,,,Crepe,VISCOSE,100,,,,,100,,GSM,120,cm,21,3.23,meter,Mill,,,,,,,running greige,,"no MOQ if digital printing,  MCQ 800m if dye color,",,,,,,,,,,,
WCN06400615,CN064,China,OUKA,C60-06,Woven,,,Satin,Cotton,100,,,,,100,123,GSM,142,cm,14.5,2.23,meter,Mill,,,,,,,running greige,,"no MOQ if digital printing,  MCQ 800m if dye color,",,,,,,,,,,,
WCN06400616,CN064,China,OUKA,R30-04,Woven,,,Crepe,rayon ,100,,,,,100,,GSM,120,cm,13,2.00,meter,Mill,,,,,,,running greige,,"no MOQ if digital printing,  MCQ 800m if dye color,",,,,,,,,,,,
WCN06400617,CN064,China,OUKA,R60-09,Woven,,,Crepe,rayon ,100,,,,,100,90,GSM,134,cm,10,1.54,meter,Mill,,,,,,,running greige,,"no MOQ if digital printing,  MCQ 800m if dye color,",,,,,,,,,,,
WCN06400618,CN064,China,OUKA,R30-02,Woven,,,Plain Weave,rayon ,100,,,,,100,128,GSM,135,cm,10,1.54,meter,Mill,,,,,,,running greige,,"no MOQ if digital printing,  MCQ 800m if dye color,",,,,,,,,,,,
WCN06400619,CN064,China,OUKA,C60-01,Woven,,,Crepe,Cotton,100,,,,,100,,GSM,130,cm,14.5,2.23,meter,Mill,,,,,,,running greige,,"no MOQ if digital printing,  MCQ 800m if dye color,",,,,,,,,,,,
WCN06400620,CN064,China,OUKA,55QN,Woven,,,twisted woven,Cotton,100,,,,,100,105,GSM,135,cm,21,3.23,meter,Mill,,,,,,,running greige,,"no MOQ if digital printing,  MCQ 800m if dye color,",,,,,,,,,,,
WCN06400621,CN064,China,OUKA,R60-05,Woven,,,Satin,rayon ,100,,,,,100,94,GSM,145,cm,12.5,1.92,meter,Mill,,,,,,,running greige,,"no MOQ if digital printing,  MCQ 800m if dye color,",,,,,,,,,,,
WCN06400622,CN064,China,OUKA,P75-06,Woven,,,Chiffon,polyester,100,,,,,100,80,GSM,145,cm,9,1.38,meter,Mill,,,,,,,running greige,,"no MOQ if digital printing,  MCQ 800m if dye color,",,,,,,,,,,,
WCN06400623,CN064,China,OUKA,P75-01,Woven,,,Chiffon,polyester,100,,,,,100,108,GSM,148,cm,9,1.38,meter,Mill,,,,,,,running greige,,"no MOQ if digital printing,  MCQ 800m if dye color,",,,,,,,,,,,
WCN06400624,CN064,China,OUKA,P30-03,Woven,,,Chiffon,polyester,100,,,,,100,56,GSM,150,cm,9.5,1.46,meter,Mill,,,,,,,running greige,,"no MOQ if digital printing,  MCQ 800m if dye color,",,,,,,,,,,,
WCN06400625,CN064,China,OUKA,P50-01,Woven,,,Chiffon,polyester,100,,,,,100,70,GSM,148,cm,9,1.38,meter,Mill,,,,,,,running greige,,"no MOQ if digital printing,  MCQ 800m if dye color,",,,,,,,,,,,
WCN06400626,CN064,China,OUKA,P75-05,Woven,,,Muslin,polyester,100,,,,,100,110,GSM,148,cm,12.5,1.92,meter,Mill,,,,,,,running greige,,"no MOQ if digital printing,  MCQ 800m if dye color,",,,,,,,,,,,
WCN06400627,CN064,China,OUKA,P100-03,Woven,,,Muslin,polyester,100,,,,,100,130,GSM,144,cm,12.8,1.97,meter,Mill,,,,,,,running greige,,"no MOQ if digital printing,  MCQ 800m if dye color,",,,,,,,,,,,
WCN06400628,CN064,China,OUKA,P100-02,Woven,,,Chiffon,polyester,100,,,,,100,83,GSM,148,cm,4.8,0.74,meter,Mill,,,,,,,running greige,,"no MOQ if digital printing,  MCQ 800m if dye color,",,,,,,,,,,,
