SE Fabric Reference #,Supplier #,Country of Origin,Supplier name (auto-fill),Supplier Fabric Style #,"Construction (K, W, O)",If Knit -              Warp or Circular,If Woven - dimensional construction - yarn count,Fabric type,Fiber 1,% 1,Fiber 2,% 2,Fiber 3,% 3,Xfoot check,Weight ,Wt UOM,Cuttable Width,Width UOM,"Cost
(RMB)",Cost (USD),Cost UOM,Stock or Mill,MOQ,MOQ UOM,MCQ,MCQ UOM,MOQ - MCQ,Avail in greige?,"Other construction notes (ie. yarn count, good for printing etc)",Major Customers,,,,,,,,,,,,
WCN00100189,CN001,China,Canchen Textile,X15-113,Woven,,,Chiffon,polyester,96,spandex,4,,,100,400,GSM,145,CM,16.5,2.54,meter,Mill,0,,1000,meter,"1000m/color, surcharge for small lot dye",,sucharge 800RMB for small lot dye,,,96%polyester4%spandex,,,,,,,,,,
WCN00100190,CN001,China,Canchen Textile,X15-114,Woven,,,other,polyester,96,spandex,4,,,100,250,GSM,145,CM,16.5,2.54,meter,Mill,0,,,,"1000m/color, surcharge for small lot dye",,sucharge 800RMB for small lot dye,,,96%polyester4%spandex,,,,,,,,,,
WCN00100191,CN001,China,Canchen Textile,X15-116,Woven,,,Plain Weave,polyester,96,spandex,4,,,100,200,GSM,145,CM,16.5,2.54,meter,Mill,0,,,,"1000m/color, surcharge for small lot dye",,sucharge 800RMB for small lot dye,,,96%polyester4%spandex,,,,,,,,,,
WCN00100192,CN001,China,Canchen Textile,X15-117,Woven,,,Crepe,polyester,96,spandex,4,,,100,270,GSM,145,CM,16.5,2.54,meter,Mill,0,,,,"1000m/color, surcharge for small lot dye",,sucharge 800RMB for small lot dye,,,96%polyester4%spandex,,,,,,,,,,
WCN00100245,CN001,China,Canchen Textile,X15-085,Woven,,,Crepe,rayon ,100,,,,,100,146,GSM,130,CM,22.5,3.46,meter,Stock,0,,0,,stock fabric 2015/1/22 (For Print Technique Only）,,price price is based on 3000meter,,,100%rayon ,,,,,,,,,,
WCN00100246,CN001,China,Canchen Textile,X15-205,Woven,,,other,polyester,77,rayon ,21,spandex,2,100,280,GSM,145,CM,26.5,4.08,meter,Stock,0,,0,,stock fabric 2015/1/22 (For Print Technique Only,,price price is based on 3000meter,,,77%polyester21%rayon 2%spandex,,,,,,,,,,
WCN00100247,CN001,China,Canchen Textile,X15-218,Woven,,,Chiffon,rayon ,98,spandex,2,,,100,100,GSM,135,CM,16.5,2.54,meter,Stock,0,,0,,stock fabric 2015/1/22 (For Print Technique Only）,,price price is based on 3000meter,,,98%rayon 2%spandex%,,,,,,,,,,
WCN00100248,CN001,China,Canchen Textile,X15-261,Woven,,,Plain Weave,polyester,100,,,,,100,86,GSM,145,CM,19,4.31,meter,Stock,0,,0,,stock fabric 2015/1/22 (For Print Technique Only,,price price is based on 3000meter,,,100%polyester,,,,,,,,,,
WCN00100249,CN001,China,Canchen Textile,X14-064,Woven,,,Georgette,polyester,100,,,,,100,115,GSM,145,CM,28,4.31,meter,Stock,0,,0,,stock fabric 2015/1/22 (For Print Technique Only）,,price price is based on 3000meter,,,100%polyester,,,,,,,,,,
WCN00100250,CN001,China,Canchen Textile,X15-216,Woven,,,Georgette,polyester,100,,,,,100,86,GSM,145,CM,28,4.31,meter,Stock,0,,0,,stock fabric 2015/1/22 (For Print Technique Only,,price price is based on 3000meter,,,100%polyester,,,,,,,,,,
WCN00100251,CN001,China,Canchen Textile,XSH-1,Woven,,,Plain Weave,Cotton,100,,,,,100,80,GSM,140,CM,19.5,3.00,meter,Stock,0,,0,,stock fabric 2015/1/22 (For Print Technique Only）,,price price is based on 3000meter,,,100%Cotton,,,,,,,,,,
WCN00100252,CN001,China,Canchen Textile,X13-112,Woven,,,Chiffon,polyester,100,,,,,100,40,GSM,145,CM,15.64,2.41,meter,Stock,0,,0,,stock fabric 2015/1/22 (For Print Technique Only,,price price is based on 3000meter,,,100%polyester,,,,,,,,,,
WCN00100253,CN001,China,Canchen Textile,X13-120,Woven,,,Chiffon,polyester,100,,,,,100,68,GSM,145,CM,16,2.46,meter,Stock,0,,0,,stock fabric 2015/1/22 (For Print Technique Only）,,price price is based on 3000meter,,,100%polyester,,,,,,,,,,
WCN00100254,CN001,China,Canchen Textile,X14-049,Woven,,,Chiffon,polyester,100,,,,,100,75,GSM,145,CM,18,2.77,meter,Stock,0,,0,,stock fabric 2015/1/22 (For Print Technique Only,,price price is based on 3000meter,,,100%polyester,,,,,,,,,,
WCN00100255,CN001,China,Canchen Textile,YGH,Woven,,,Chiffon,Cotton,100,,,,,100,104,GSM,144,CM,19,2.92,meter,Stock,0,,0,,stock fabric 2015/1/22 (For Print Technique Only）,,price price is based on 3000meter,,,100%Cotton,,,,,,,,,,
WCN00100390,CN001,China,Canchen Textile,,Woven,,,Mess,polyester,100,,,,,100,125,gsm,150,cm,,,,Stock,0,,0,,"running stock, pls refer to color card",,,,,,,,,,,,,,wool,
WCN00100701,CN001,China,Canchen Textile,X11-245,Woven,,,Twill,rayon ,100,,,,,,155,GSM,135,CM,,,,Mill,0,,,,2.45,METER,stock fabric with color card,,,,100%rayon,,,,,,,,,
WCN00500098,CN005,China,wujiang BTFX textile,20D,Woven,,,Plain Weave,nylon,100,,,,,100,35,gsm,150,cm,,2.00,meter,Mill,0,,,,"running greidge,only can sublimation print 2 color",,sucharge 600RMB for small lot dye,,,,,,,,,,,,,
WCN00500230,CN005,China,wujiang BTFX textile,T8600Y1571-4,Woven,,,Plain Weave,polyester,100,,,,,100,125,GSM,142,CM,15.47,2.38,meter,Mill,0,,,,"1000meter,surcharge for small lot dye",,sucharge 600RMB for small lot dye,,,100%polyester,,,,,,,,,,
WCN00500231,CN005,China,wujiang BTFX textile,FTRY1557-3,Woven,,,Plain Weave,polyester,100,,,,,100,130,GSM,145,CM,11.83,1.82,meter,Mill,0,,,,"1000meter,surcharge for small lot dye",,sucharge 600RMB for small lot dye,,,100%polyester,,,,,,,,,,
WCN00500232,CN005,China,wujiang BTFX textile,D1125,Woven,,,Satin,polyester,100,,,,,100,138,GSM,146,CM,9.88,1.52,meter,Mill,0,,,,"1000meter,surcharge for small lot dye",,sucharge 600RMB for small lot dye,,,100%polyester,,,,,,,,,,
WCN00500233,CN005,China,wujiang BTFX textile,ST1516,Woven,,,Satin,polyester,100,,,,,100,88,GSM,158,CM,19.37,2.98,meter,Mill,0,,,,"1000meter,surcharge for small lot dye",,sucharge 600RMB for small lot dye,,,100%polyester,,,,,,,,,,
