SE Fabric Reference #,Supplier #,Country of Origin,Supplier name (auto-fill),Supplier Fabric Style #,"Construction (K, W, O)",If Knit -              Warp or Circular,If Woven - dimensional construction - yarn count,Fabric type,Fiber 1,% 1,Fiber 2,% 2,Fiber 3,% 3,Xfoot check,Weight ,Wt UOM,Cuttable Width,Width UOM,"Cost
(RMB)",Cost (USD）,Cost UOM,Used when Cost in RMB/kg or RMB/yd is know to convert to USD/Mtr,Unit,Stock or Mill,MOQ,MOQ UOM,MCQ,MCQ UOM,MOQ - MCQ,Avail in greige?,"Other construction notes (ie. yarn count, good for printing etc)",Major Customers,,,,,,,,,,,,,,,,,,,,,,,
KCN00200212,CN002,China,Zhongcheng Textile,ZC-12-020,Knit,circular,,Striped Jersey,Rayon ,95,spandex,5,,,100,210,GSM,152,CM,22.68,3.49,meter,,,Mill,1000,kg,500,kg,1000KG/order 500KG/color,No,1500RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200213,CN002,China,Zhongcheng Textile,ZC-12,Knit,circular,,Striped Jersey,rayon ,95,spandex,5,,,100,165,GSM,152,CM,18.35,2.82,meter,,,Mill,1000,kg,500,kg,1000KG/order 500KG/color,No,1500RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200473,CN002,China,Zhongcheng Textile,C/T loop knit,Knit,circular,,loop knit,cotton,96,spandex,4,,,100,240,GSM,150,CM,23.29,3.58,meter,,,Mill,1000,kg,300,kg,"300KG/color, 1000kg/order.",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200484,CN002,China,Zhongcheng Textile,WLT-15-025,Knit,circular,,2X2 Rib Knit,Cotton,57,polyester,40,spandex,3,100,360,GSM,110,CM,24.92,3.83,yard,4.19,meter,Mill,1000,kg,500,kg,"500KG/color, 1000kg/order.",No,surcharge 800-1000RMB/color,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200485,CN002,China,Zhongcheng Textile,QGJ-13-51,Knit,circular,,Loop knit,Cotton,100,,,,,100,280,GSM,185,CM,29.61,4.56,yard,4.99,meter,Mill,1000,kg,500,kg,"500KG/color, 1000kg/order.",No,surcharge 800-1000RMB/color,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200486,CN002,China,Zhongcheng Textile,MJG-09-39,Knit,circular,,Jersey,Cotton,60,modal,40,,,100,150,GSM,165,CM,15.9,2.45,yard,2.68,meter,Mill,1000,kg,300,kg,"300KG/color, 1000kg/order.",No,surcharge 800-1000RMB/color,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200487,CN002,China,Zhongcheng Textile,ZC-15-022,Knit,circular,,loop knit,polyester,65,rayon ,32,spandex,3,100,240,GSM,155,CM,18.46,2.84,yard,3.11,meter,Mill,1000,kg,300,kg,"300KG/color, 1000kg/order.",No,surcharge 800-1000RMB/color,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200488,CN002,China,Zhongcheng Textile,MHF-07-80B,Knit,circular,,Loop knit,polyester,65,cotton,31,spandex,4,100,240,GSM,165,CM,21.26,3.27,yard,3.58,meter,Mill,1000,kg,500,kg,"500KG/color, 1000kg/order.",No,surcharge 800-1000RMB/color,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200489,CN002,China,Zhongcheng Textile,QM-11-05-B,Knit,circular,,1X1 Rib Knit,Cotton,57,polyester,40,spandex,3,100,185,GSM,156,CM,15.97,2.46,yard,2.69,meter,Mill,1000,kg,300,kg,"300KG/color, 1000kg/order.",No,surcharge 800-1000RMB/color,,,,,,,,,,,,,100,63,gsm,148,cm,,1.03,meter,MOQ 1000m,,,polyester100%
KCN00200504,CN002,China,Zhongcheng Textile,BK1011,Knit,circular,,Mesh,polyester,100,,,,,100,150,GSM,172,CM,12.2,1.88,meter,,,Mill,1000,kg,300,kg,300kg/color,No,,,,,,,,,,,,,,100,84,gsm,145,cm,,1.63,meter,MOQ 1000m,,,polyester100%
KCN00200571,CN002,China,Zhongcheng Textile,ZC-9208,Knit,circular,,jersey,cotton,92,spandex,8,,,100,240,gsm,180,CM,61,9.38,kg,4.05,meter,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No,,,,,,,,,,,,,,100,56,gsm,148,cm,,1.39,meter,MOQ 1000m,,,polyester100%
KCN00200728,CN002,China,Zhongcheng Textile,SYH-09-12B,Knit,circular,,Fleece,cotton,80,polyester,20,,,100,260,gsm,180,cm,,3.90,meter,,,Mill,500,kg,300,kg,"500kg/order,300kg/color",No,,,,,,,,,,,,,,100,63,gsm,148,cm,,1.03,meter,MOQ 1000m,,,polyester100%
KCN00200729,CN002,China,Zhongcheng Textile,SYH-09-12A,Knit,circular,,Fleece,cotton,80,polyester,20,,,100,260,gsm,180,cm,,3.90,meter,,,Mill,500,kg,300,kg,"500kg/order,300kg/color",No,,,,,,,,,,,,,,100,84,gsm,145,cm,,1.63,meter,MOQ 1000m,,,polyester100%
KCN00200730,CN002,China,Zhongcheng Textile,ZWL-16-128,Knit,circular,,Fleece,polyester,100,,,,,100,300,GSM,152,CM,,2.36,meter,,,Mill,500,kg,300,kg,"500kg/order,300kg/color",No,,,,,,,,,,,,,,100,56,gsm,148,cm,,1.39,meter,MOQ 1000m,,,polyester100%
KCN00200731,CN002,China,Zhongcheng Textile,ZWL-14-236,Knit,circular,,Fleece,polyester,100,,,,,100,170,GSM,152,CM,,0.98,meter,,,Mill,500,kg,300,kg,"500kg/order,300kg/color",No,,,,,,,,,,,,,,100,76,gsm,148,cm,,1.3,meter,MOQ 1000m,,,polyester100%
KCN00200732,CN002,China,Zhongcheng Textile,XY-16-0729,Knit,circular,,Fleece,polyester,100,,,,,100,270,GSM,152,CM,,2.13,meter,,,Mill,500,kg,300,kg,"500kg/order,300kg/color",No,,,,,,,,,,,,,,100,87,gsm,140,cm,,1.34,meter,MOQ 1500m,,,polyester53%viscose47%
KCN00200733,CN002,China,Zhongcheng Textile,WLT-13-21,Knit,circular,,French Terry,polyester,75,cotton,25,,,100,225,GSM,180,CM,,2.74,meter,,,Mill,500,kg,300,kg,"500kg/order,300kg/color",No,,,,,,,,,,,,,,100,140,gsm,145,cm,,1.68,meter,MOQ 1500m,,,polyester100%
KCN00200734,CN002,China,Zhongcheng Textile,WLT-07-23,Knit,circular,,French Terry,polyester,100,,,,,100,215,GSM,165,CM,,1.31,meter,,,Mill,500,kg,300,kg,"500kg/order,300kg/color",No,,,,,,,,,,,,,,100,140,gsm,145,cm,,1.68,meter,MOQ 1500m,,,polyester100%
KCN00200735,CN002,China,Zhongcheng Textile,MJG-13-29,Knit,circular,,French Terry,polyester,65,cotton,35,,,100,260,GSM,170,CM,,2.74,meter,,,Mill,500,kg,300,kg,"500kg/order,300kg/color",No,,,,,,,,,,,,,,100,140,gsm,155,cm,,2.17,meter,MOQ 1500m,,,polyester100%
KCN00200736,CN002,China,Zhongcheng Textile,GJJ-12-03,Knit,circular,,Jersey,cotton,100,,,,,100,180,GSM,190,CM,,2.42,meter,,,Mill,500,kg,300,kg,"500kg/order,300kg/color",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200737,CN002,China,Zhongcheng Textile,HBC801,Knit,circular,,Jersey,cotton,100,,,,,100,230,GSM,160,CM,,2.71,meter,,,Mill,500,kg,300,kg,"500kg/order,300kg/color",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200738,CN002,China,Zhongcheng Textile,QZY-08-01A,Knit,circular,,Jersey,cotton,100,,,,,100,200,GSM,180,CM,,2.55,meter,,,Mill,500,kg,300,kg,"500kg/order,300kg/color",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN00300004,CN003,China,Kuncheng Texile,KC-15-128,Knit,circular,,Jersey,polyester,90,spandex,10,,,100,160,gsm,160,cm,42,6.46,kg,1.65,meter,Mill,500,kg,100,kg,"500KG/order, 100KG/color",No,surcharge 500RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00300005,CN003,China,Kuncheng Texile,KC-15-129,Knit,circular,,Brushed Jersey,polyester,90,spandex,10,,,100,240,gsm,155,cm,48,7.38,kg,2.75,meter,Mill,500,kg,100,kg,"500KG/order, 100KG/color",No,surcharge 500RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00300006,CN003,China,Kuncheng Texile,KC-15-130,Knit,circular,,Brushed Jersey,polyester,88,spandex,12,,,100,280,gsm,160,cm,48,7.38,kg,3.31,meter,Mill,500,kg,100,kg,"500KG/order, 100KG/color",No,surcharge 500RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00300007,CN003,China,Kuncheng Texile,KC-15-131,Knit,circular,,Jersey,nylon,88,spandex,12,,,100,240,gsm,165,cm,42,6.46,kg,2.56,meter,Mill,500,kg,100,kg,"500KG/order, 100KG/color",No,surcharge 500RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00300008,CN003,China,Kuncheng Texile,KC-15-132,Knit,circular,,Brushed Jersey,polyester,88,spandex,12,,,100,300,gsm,155,cm,58,8.92,kg,4.15,meter,Mill,500,kg,100,kg,"500KG/order, 100KG/color",No,surcharge 500RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00300009,CN003,China,Kuncheng Texile,KC-15-133,Knit,circular,,Brushed Jersey,nylon,82,spandex,18,,,100,190,gsm,150,cm,80,12.31,kg,3.51,meter,Mill,500,kg,100,kg,"500KG/order, 100KG/color",No,surcharge 500RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00300010,CN003,China,Kuncheng Texile,KC-15-134,Knit,circular,,Brushed Jersey,polyester,92,spandex,8,,,100,225,gsm,150,cm,52,8.00,kg,2.70,meter,Mill,500,kg,100,kg,"500KG/order, 100KG/color",No,surcharge 500RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00300011,CN003,China,Kuncheng Texile,KC-15-135,Knit,circular,,Brushed Jersey,polyester,88,spandex,12,,,100,240,gsm,150,cm,50,7.69,kg,2.77,meter,Mill,500,kg,100,kg,"500KG/order, 100KG/color",No,surcharge 500RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00300012,CN003,China,Kuncheng Texile,KC-15-136,Knit,circular,,French Terry,polyester,91,spandex,9,,,100,280,gsm,155,cm,43,6.62,kg,2.87,meter,Mill,500,kg,100,kg,"500KG/order, 100KG/color",No,surcharge 500RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00300013,CN003,China,Kuncheng Texile,KC-15-137,Knit,circular,,Jersey,polyester,100,,,,,100,80,gsm,155,cm,36,5.54,kg,0.69,meter,Mill,500,kg,100,kg,"500KG/order, 100KG/color",No,surcharge 500RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00300014,CN003,China,Kuncheng Texile,KC-15-138,Knit,circular,,Piqué,polyester,100,,,,,100,160,gsm,155,cm,34,5.23,kg,1.30,meter,Mill,500,kg,100,kg,"500KG/order, 100KG/color",No,surcharge 500RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00300072,CN003,China,Kuncheng Texile,KC-15-139,Knit,circular,,jersey,nylon,43,polyester,45,spandex,12,100,280,gsm,160,cm,68,10.63,kg,4.76,meter,Mill,500,kg,100,kg,"500KG/order, 100KG/color",No,surcharge 500RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00300475,CN003,China,Kuncheng Texile,KC-8812-290B,Knit,circular,,brushed jersey,polyester,88,spandex,12,,,100,290,GSM,155,cm,50,7.69,kg,3.46,meter,Mill,300,kg,100,kg,"300KG/order, 100kg/color",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN00300476,CN003,China,Kuncheng Texile,KC-8812-310,Knit,circular,,jersey,polyester,88,spandex,12,,,100,310,GSM,155,cm,50,7.69,kg,3.70,meter,Mill,300,kg,100,kg,"300KG/order, 100kg/color",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN00300483,CN003,China,Kuncheng Texile,KC-8020,Knit,circular,,jersey,polyester,80,spandex,20,,,100,250,GSM,150,cm,46,7.08,kg,2.65,meter,Mill,500,kg,300,kg,"500kg/order, 300KG/color",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN00300505,CN003,China,Kuncheng Texile,BK1009,Knit,circular,,Jersey,polyester,100,,,,,100,160,GSM,150,cm,36,5.54,kg,1.33,meter,Mill,0,kg,100,kg,100KG/color,No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN00300506,CN003,China,Kuncheng Texile,BK1015,Knit,circular,,Jersey,polyester,90,Spandex,10,,,100,160,GSM,160,CM,50,7.69,kg,1.97,meter,Mill,0,kg,100,kg,100KG/color,No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN00300510,CN003,China,Kuncheng Texile,GK1041 ,Knit,circular,,Jersey,polyester,88,Spandex,12,,,100,290,GSM,155,CM,40,6.15,kg,2.76,meter,Mill,0,kg,0,kg,running greige. Digital print,Yes,,88%polyester12%Spandex,,,,,,,,,,,,,,,,,,,,,,,
KCN00300514,CN003,China,Kuncheng Texile,KC-0415-01,Knit,circular,,Brushed Jersey,polyester,90,spandex,10,,,100,215,gsm,155,CM,39,6.00,kg,2.00,meter,Mill,0,kg,100,kg,"100kg/color, running greige ",Yes,surcharge 500RMB/color for small lot dye.,90%polyester10%spandex,,,,,,,,,,,,,,,,,,,,,,,
KCN00300515,CN003,China,Kuncheng Texile,KC-0415-02,Knit,circular,,Brushed Jersey,polyester,82,spandex,18,,,100,300,gsm,150,CM,45,6.92,kg,3.11,meter,Mill,0,kg,100,kg,"100kg/color, running greige ",Yes,surcharge 500RMB/color for small lot dye.,82%polyester18%spandex,,,,,,,,,,,,,,,,,,,,,,,
KCN00300706,CN003,China,Kuncheng Texile,KC-88/12-280.,Knit,circular,,Jersey,polyester,88,Spandex,12,,,100,280,GSM,155,cm,40,6.15,kg,2.67,METER,Mill,,kg,,kg,k,No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN00300719,CN003,China,Kuncheng Texile,KC100DB,Knit,circular,,Brushed Jersey,polyester,100,,,,,100,280,GSM,160,cm,46,7.08,kg,3.17,METER,Mill,300,kg,150,kg,"300KG/order, 150kg/color",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN00300720,CN003,China,Kuncheng Texile,KC9010DB,Knit,circular,,Brushed Jersey,polyester,90,Spandex,10,,,100,240,GSM,155,cm,46,7.08,kg,2.63,METER,Mill,300,kg,150,kg,"300KG/order, 150kg/color",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN00300722,CN003,China,Kuncheng Texile,KC-0229,Knit,circular,,Jersey,polyester,88,spandex,12,,,100,310,GSM,151,cm,40,6.15,kg,2.88,METER,Mill,300,kg,150,kg,150kg/color,No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN00400073,CN004,China,Jia Qi Texile,H2002,Knit,circular,,1X1 Rib Knit,cotton,97,spandex,3,,,100,800,gsm,100,cm,,,,"flat knit fabric, offer based on piece by piece",,Stock,0,,0,,stock,No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN00400074,CN004,China,Jia Qi Texile,H2056,Knit,circular,,1X1 Rib Knit,cotton,97,spandex,3,,,100,650,gsm,80,cm,,,,"flat knit fabric, offer based on piece by piece",,Stock,0,,0,,stock,No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN00400075,CN004,China,Jia Qi Texile,H5701S,Knit,circular,,1X1 Rib Knit,polyester,97,spandex,3,,,100,450,gsm,100,cm,,,,"flat knit fabric, offer based on piece by piece",,Stock,0,,0,,stock,No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN00400076,CN004,China,Jia Qi Texile,H2255h,Knit,circular,,1X1 Rib Knit,polyester,97,spandex,3,,,100,650,gsm,100,cm,,,,"flat knit fabric, offer based on piece by piece",,Stock,0,,0,,stock,No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN00400077,CN004,China,Jia Qi Texile,H1319,Knit,circular,,1X1 Rib Knit,polyester,97,spandex,3,,,100,650,gsm,100,cm,,,,"flat knit fabric, offer based on piece by piece",,Stock,0,,0,,stock,No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN00400507,CN004,China,Jia Qi Texile,BK1018,Knit,circular,,Flat knit,polyester,97,Spandex,3,,,100,600,GSM,100,CM,,,,"flat knit fabric, offer based on piece by piece",,Stock,0,,0,,stock,No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN00400761,CN004,China,Jia Qi Texile,DY2052,Knit,circular,,1X1 Rib Knit,cotton,100,,,,,100,400,gsm,190,cm,49.5,7.62,meter,,,Mill,300,kg,150,kg,"20KG/order, 200kg/color",No,600RMB surcharge for less MCQ,,,,,,,,,,,,,,,,,,,,,,,,
KCN00500097,CN005,China,wujiang BTFX textile,ZD838,Knit,circular,,Jersey,polyester,100,,,,,100,140,gsm,155,cm,,2.17,meter,,,Mill,300,kg,150,kg,"running greige,1000m/color",yes,surcharge 600RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00500222,CN005,China,wujiang BTFX textile,ZD-1192,Knit,circular,,Tulle netting,polyester,100,,,,,100,50,GSM,150,CM,12,1.85,meter,,,Stock,0,,0,,"stock,2016/1/11",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN00500724,CN005,China,wujiang BTFX textile,ZD1632 foil print,Knit,circular,,Fleece,polyester,95,spandex,5,,,100,215,GSM,155,cm,42,,,6.4,METER,Mill,0,kg,150,kg,"150kg/color for PFP dying,no MOQ for print",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN00500725,CN005,China,wujiang BTFX textile,Gk1068 foil print,Knit,circular,,Fleece,polyester,90,spandex,10,,,100,235,GSM,155,CM,42,,,6.4,METER,Mill,0,kg,150,kg,"150kg/color for PFP dying,no MOQ for print",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN00500739,CN005,China,wujiang BTFX textile,ZD1721 printing,Knit,circular,,Double knit,polyester,86,Spandex,14,,,100,350,GSM,145,CM,36.9,5.68,meter,,,Mill,700,kg,100,kg,"700kg/order,100kg/color",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN00500740,CN005,China,wujiang BTFX textile,ZD1718 printing,Knit,circular,,Jersey,polyester,92,Spandex,8,,,100,170,gsm,145,CM,19.1,2.94,meter,,,Mill,700,kg,100,kg,"700kg/order,100kg/color",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN00500741,CN005,China,wujiang BTFX textile,ZD1723 printing,Knit,circular,,Jersey,polyester,85,spandex,15,,,100,220,gsm,155,CM,23.1,3.55,meter,,,Mill,700,kg,100,kg,"700kg/order,100kg/color",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN00500742,CN005,China,wujiang BTFX textile,ZD1722 solid,Knit,circular,,Jersey,polyester,92,spandex,8,,,100,220,gsm,150,CM,28,4.31,meter,,,Mill,700,kg,100,kg,"700kg/order,100kg/color",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN00500743,CN005,China,wujiang BTFX textile,ZD1720 printing,Knit,circular,,Jersey,polyester,87,spandex,13,,,100,280,gsm,150,CM,28.6,4.40,meter,,,Mill,700,kg,100,kg,"700kg/order,100kg/color",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN00500744,CN005,China,wujiang BTFX textile,ZD1719 printing,Knit,circular,,Jersey,polyester,87,spandex,13,,,100,280,gsm,150,CM,29.9,4.60,meter,,,Mill,700,kg,100,kg,"700kg/order,100kg/color",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000099,CN010,China,FengQing Textile,2046,Knit,circular,,Double knit,polyester,97,spandex,3,,,100,350,GSM,155,CM,29,4.46,kg,2.42,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000100,CN010,China,FengQing Textile,5840,Knit,circular,,Striped Jersey,viscose,47,polyester,47,spandex,6,100,170,GSM,170,CM,30,4.62,kg,1.34,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000101,CN010,China,FengQing Textile,6237,Knit,circular,,Striped Jersey,cotton,95,spandex,5,,,100,160,GSM,175,CM,50.5,7.77,kg,2.18,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000102,CN010,China,FengQing Textile,5132,Knit,circular,,Striped Jersey,cotton,95,spandex,5,,,100,190,GSM,175,CM,44,6.77,kg,2.25,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000103,CN010,China,FengQing Textile,5329,Knit,circular,,Striped Jersey,rayon ,95,spandex,5,,,100,230,GSM,180,CM,47,7.23,kg,2.99,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000104,CN010,China,FengQing Textile,5035,Knit,circular,,Striped Jersey,cotton,100,,,,,100,170,GSM,180,CM,43,6.62,kg,2.03,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000105,CN010,China,FengQing Textile,5321,Knit,circular,,Striped Jersey,cotton,95,spandex,5,,,100,270,GSM,175,CM,43.5,6.69,kg,3.16,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000106,CN010,China,FengQing Textile,30,Knit,circular,,1X1 Rib Knit,cotton,95,spandex,5,,,100,230,GSM,170,CM,44,6.77,kg,2.65,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000107,CN010,China,FengQing Textile,3530,Knit,circular,,Jersey,cotton,48,polyester,48,spandex,4,100,150,GSM,170,CM,28,4.31,kg,1.10,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000108,CN010,China,FengQing Textile,3636,Knit,circular,,Double knit,rayon ,45,polyester,50,spandex,5,100,270,GSM,180,CM,25,3.85,kg,1.87,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000109,CN010,China,FengQing Textile,5029,Knit,circular,,Striped Jersey,Cotton,100,,,,,100,180,GSM,180,CM,43.5,6.69,kg,2.17,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000110,CN010,China,FengQing Textile,38,Knit,circular,,Rib knit,Cotton,95,spandex,5,,,100,200,GSM,125,CM,50,7.69,kg,1.92,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000111,CN010,China,FengQing Textile,5331,Knit,circular,,Striped Jersey,Cotton,95,spandex,5,,,100,190,GSM,175,CM,42.5,6.54,kg,2.17,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000112,CN010,China,FengQing Textile,5431,Knit,circular,,Striped Jersey,Cotton,95,spandex,5,,,100,190,GSM,175,CM,42.5,6.54,kg,2.17,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000113,CN010,China,FengQing Textile,1/1/5340,Knit,circular,,Striped Jersey,Cotton,95,spandex,5,,,100,230,GSM,185,CM,49.5,7.62,kg,3.24,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000114,CN010,China,FengQing Textile,99,Knit,circular,,Striped Jersey,Cotton,95,spandex,5,,,100,190,GSM,165,CM,52.5,8.08,kg,2.53,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000115,CN010,China,FengQing Textile,92,Knit,circular,,Striped Jersey,Cotton,95,spandex,5,,,100,193,GSM,185,CM,48.2,7.42,kg,2.65,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000116,CN010,China,FengQing Textile,88,Knit,circular,,Striped Jersey,cotton,95,spandex,5,,,100,190,GSM,165,CM,52,8.00,kg,2.51,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000117,CN010,China,FengQing Textile,70,Knit,circular,,Striped Jersey,cotton,95,spandex,5,,,100,180,GSM,180,CM,45,6.92,kg,2.24,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000118,CN010,China,FengQing Textile,71,Knit,circular,,Striped Jersey,cotton,95,spandex,5,,,100,190,GSM,175,CM,45,6.92,kg,2.30,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000119,CN010,China,FengQing Textile,5440,Knit,circular,,Striped Jersey,cotton,95,spandex,5,,,100,190,GSM,175,CM,47,7.23,kg,2.40,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000120,CN010,China,FengQing Textile,3640,Knit,circular,,Striped Jersey,rayon ,45,polyester,50,spandex,5,100,310,GSM,180,CM,28,4.31,kg,2.40,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000122,CN010,China,FengQing Textile,3532,Knit,circular,,Jersey,rayon ,95,spandex,5,,,100,180,GSM,172,CM,28.5,4.38,kg,1.36,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000123,CN010,China,FengQing Textile,2333,Knit,circular,,French Terry,cotton,95,spandex,5,,,100,220,GSM,175,CM,46.5,7.15,kg,2.75,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000124,CN010,China,FengQing Textile,3245,Knit,circular,,brushed jersey,cotton,95,spandex,5,,,100,160,GSM,175,CM,43,6.62,kg,1.85,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000125,CN010,China,FengQing Textile,3146,Knit,circular,,Striped Jersey,cotton,95,spandex,5,,,100,175,GSM,180,CM,44.5,6.85,kg,2.16,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000126,CN010,China,FengQing Textile,3048,Knit,circular,,Jersey,cotton,100,,,,,100,130,GSM,185,CM,44.5,6.85,kg,1.65,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000127,CN010,China,FengQing Textile,3250,Knit,circular,,Jersey,cotton,95,spandex,5,,,100,165,GSM,175,CM,84,12.92,kg,3.73,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000128,CN010,China,FengQing Textile,3532,Knit,circular,,Jersey,rayon ,95,spandex,5,,,100,180,GSM,172,CM,28.5,4.38,kg,1.36,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000129,CN010,China,FengQing Textile,2327,Knit,warp,,Ponte,polyester,95,spandex,5,,,100,280,GSM,160,CM,23,3.54,kg,1.59,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
KCN01000130,CN010,China,FengQing Textile,3521,Knit,circular,,Jersey,polyester,100,,,,,100,150,GSM,185,CM,19,2.92,kg,0.81,meter,Stock,0,,0,,"stock fabric, have color swatch",No,,,,,,,,,,,,,,,,,,,,,,,,,
