SE Fabric Reference #,Supplier #,Country of Origin,Supplier name (auto-fill),Supplier Fabric Style #,"Construction (K, W, O)",If Knit -              Warp or Circular,If Woven - dimensional construction - yarn count,Fabric type,Fiber 1,% 1,Fiber 2,% 2,Fiber 3,% 3,Xfoot check,Weight ,Wt UOM,Cuttable Width,Width UOM,"Cost
(RMB)",Cost (USD）,Cost UOM,Used when Cost in RMB/kg or RMB/yd is know to convert to USD/Mtr,Unit,Stock or Mill,MOQ,MOQ UOM,MCQ,MCQ UOM,MOQ - MCQ,Avail in greige?,"Other construction notes (ie. yarn count, good for printing etc)",Major Customers,,,,,,,,,,,,,,,,,,,,,,,
KCN00200025,CN002,China,Zhongcheng Textile,ZWL-12-017B,Knit,circular,,Ponte,polyester,69,rayon ,31,,,100,320,gsm,152,cm,23.85,3.67,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No,surcharge 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200026,CN002,China,Zhongcheng Textile,WLT-14-02,Knit,circular,,Ponte,polyester,65,rayon ,31,spandex,4,100,310,gsm,160,cm,25.34,3.90,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No,surcharge 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200027,CN002,China,Zhongcheng Textile,CVC 1,Knit,circular,,Jersey,cotton,60,polyester,40,,,100,190,gsm,175,cm,17.67,2.72,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No,surcharge 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200028,CN002,China,Zhongcheng Textile,CVC 2 BLACK,Knit,circular,,Jersey,cotton,60,polyester,40,,,100,120,gsm,175,cm,11.13,1.71,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No,surcharge 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200029,CN002,China,Zhongcheng Textile,CVC 3 WHITE,Knit,circular,,Jersey,cotton,60,polyester,40,,,100,120,gsm,175,cm,11.13,1.71,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No,surcharge 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200030,CN002,China,Zhongcheng Textile,CVC black,Knit,circular,,Jersey,cotton,60,polyester,40,,,100,200,gsm,175,cm,18.6,2.86,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No,surcharge 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200031,CN002,China,Zhongcheng Textile,CVC white,Knit,circular,,Jersey,cotton,60,polyester,40,,,100,200,gsm,175,cm,17.25,2.65,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No,surcharge 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200032,CN002,China,Zhongcheng Textile,MJG-12,Knit,circular,,Brushed Jersey,polyester,70,cotton,30,,,100,270,gsm,162,cm,20.74,3.19,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No,surcharge 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200033,CN002,China,Zhongcheng Textile,WLT-11-17,Knit,circular,,Jersey,cotton,90,spandex,10,,,100,260,gsm,155,cm,25.72,3.96,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No,surcharge 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200034,CN002,China,Zhongcheng Textile,SXQ-11-02A,Knit,circular,,Brushed Jersey,Cotton,80,polyester,20,,,100,290,gsm,180,cm,30.63,4.71,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No,surcharge 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200035,CN002,China,Zhongcheng Textile,QGJ-12-032T,Knit,circular,,Jersey,cotton,95,spandex,5,,,100,210,gsm,152,cm,19.83,3.05,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No,surcharge 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200036,CN002,China,Zhongcheng Textile,WLT-14-25,Knit,circular,,slub jersey,Cotton,100,,,,,100,240,gsm,162,cm,25.68,3.95,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No,surcharge 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
KCN00200037,CN002,China,Zhongcheng Textile,QGJ-12-09,Knit,circular,,mesh,Polyester,100,,,,,100,140,gsm,172,cm,10,1.54,meter,,,Mill,1000,kg,300,kg,1000KG/order 300KG/color,No,surcharge 800RMB for small lot dye,,,,,,,,,,,,,,,,,,,,,,,,
