SE Fabric Reference #,Supplier #,Country of Origin,Supplier name (auto-fill),Supplier Fabric Style #,"Construction (K, W, O)",If Knit -              Warp or Circular,If Woven - dimensional construction - yarn count,Fabric type,Fiber 1,% 1,Fiber 2,% 2,Fiber 3,% 3,Xfoot check,Weight ,Wt UOM,Cuttable Width,Width UOM,"Cost
(RMB)",Cost (USD),Cost UOM,Stock or Mill,MOQ,MOQ UOM,MCQ,MCQ UOM,MOQ - MCQ,Avail in greige?,"Other construction notes (ie. yarn count, good for printing etc)",,,,,,,,,,,
WIN02300365,IN023,India,DINESH EXPORTS,2/30x2/30/78x38,Woven,,,Oxford,cotton,100,,,,,100,195,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,Yes,2/30x2/30/78x38,,,,,,,,,,,
WIN02300366,IN023,India,DINESH EXPORTS,2/30x2/30/56x56,Woven,,,Oxford,cotton,100,,,,,100,190,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,Yes,2/30x2/30/56x56,,,,,,,,,,,
WIN02300367,IN023,India,DINESH EXPORTS,16x12/108x56,Woven,,,Oxford,cotton,100,,,,,100,295,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,Yes,16x12/108x56,,,,,,,,,,,
WIN02300368,IN023,India,DINESH EXPORTS,16x8/ 84 x28,Woven,,,Oxford,cotton,100,,,,,100,220,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,Yes,16x8/ 84 x28,,,,,,,,,,,
WIN02300369,IN023,India,DINESH EXPORTS,10x6/76x28,Woven,,,Oxford,cotton,100,,,,,100,305,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,Yes,10x6/76x28,,,,,,,,,,,
WIN02300370,IN023,India,DINESH EXPORTS,8x2/10/88x36,Woven,,,Oxford,cotton,100,,,,,100,460,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,Yes,8x2/10/88x36,,,,,,,,,,,
WIN02300371,IN023,India,DINESH EXPORTS,7x7/68x38,Woven,,,Oxford,cotton,100,,,,,100,380,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,Yes,7x7/68x38,,,,,,,,,,,
WIN02300372,IN036,India,A TO Z,Printed Georgette,Woven,,,Georgette,polyester,100,,,,,100,40,gsm,"44""",inches,80,1.23,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,Yes,40 gsm Printed Poly Georgette,,,,,,,,,,,
WIN02300373,IN036,India,A TO Z,Dyed Georgette,Woven,,,Georgette,polyester,100,,,,,100,90,gsm,"44""",inches,70,1.08,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,Yes,90 gsm Dyed Gorgette,,,,,,,,,,,
WIN02300374,IN036,India,A TO Z,Dyed Georgette,Woven,,,Georgette,polyester,100,,,,,100,75,gsm,"44""",inches,70,1.08,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,Yes,75 GSm Poly Georgette ,,,,,,,,,,,
