SE Fabric Reference #,Supplier #,Country of Origin,Supplier name (auto-fill),Supplier Fabric Style #,"Construction (K, W, O)",If Knit -              Warp or Circular,If Woven - dimensional construction - yarn count,Fabric type,Fiber 1,% 1,Fiber 2,% 2,Fiber 3,% 3,Xfoot check,Weight ,Wt UOM,Cuttable Width,Width UOM,"Cost
(RMB)",Cost (USD),Cost UOM,Stock or Mill,MOQ,MOQ UOM,MCQ,MCQ UOM,MOQ - MCQ,Avail in greige?,"Other construction notes (ie. yarn count, good for printing etc)",,,,,,,,,,,
WIN03300399,IN023,India,DINESH EXPORTS,40 x 40 / 92 x 78,Woven,,,Poplin,cotton,100,,,,,100,105,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,40 x 40 / 92 x 78,,,,,,,,,,,
WIN03300400,IN023,India,DINESH EXPORTS,40s x  40s / 92 x 88,Woven,,,Poplin,cotton,100,,,,,100,115,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,40s x  40s / 92 x 88,,,,,,,,,,,
WIN03300401,IN023,India,DINESH EXPORTS,40 x 40 /124 x 64,Woven,,,Poplin,cotton,100,,,,,100,120,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,40 x 40 /124 x 64,,,,,,,,,,,
WIN03300402,IN023,India,DINESH EXPORTS,40 x 40 / 132 x 72,Woven,,,Poplin,cotton,100,,,,,100,130,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,40 x 40 / 132 x 72,,,,,,,,,,,
WIN03300403,IN023,India,DINESH EXPORTS,40 x 40 / 120 x 100,Woven,,,Poplin,cotton,100,,,,,100,140,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,40 x 40 / 120 x 100,,,,,,,,,,,
WIN03300404,IN023,India,DINESH EXPORTS,40 x 40 / 160 x 62,Woven,,,Poplin,cotton,100,,,,,100,100,gsm,45'',inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,40 x 40 / 160 x 62,,,,,,,,,,,
WIN03300405,IN023,India,DINESH EXPORTS,30 x 30 /124 x64,Woven,,,Poplin,cotton,100,,,,,100,155,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,30 x 30 /124 x64,,,,,,,,,,,
WIN03300406,IN023,India,DINESH EXPORTS,20s x 20s / 100 x 52,Woven,,,Canvas,cotton,100,,,,,100,190,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,20s x 20s / 100 x 52,,,,,,,,,,,
WIN03300407,IN023,India,DINESH EXPORTS,16s x 16s / 100 x52,Woven,,,Canvas,cotton,100,,,,,100,240,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,16s x 16s / 100 x52,,,,,,,,,,,
WIN03300408,IN023,India,DINESH EXPORTS,10s x 10s / 70 x 40,Woven,,,Canvas,cotton,100,,,,,100,275,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,10s x 10s / 70 x 40,,,,,,,,,,,
WIN03300409,IN023,India,DINESH EXPORTS,2/40s x 20 / 112 x 64,Woven,,,Canvas,cotton,100,,,,,100,220,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,2/40s x 20 / 112 x 64,,,,,,,,,,,
WIN03300410,IN023,India,DINESH EXPORTS,2/40s x 2/60s / 108 x 56,Woven,,,Canvas,cotton,100,,,,,100,180,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,2/40s x 2/60s / 108 x 56,,,,,,,,,,,
WIN03300411,IN023,India,DINESH EXPORTS,2/40s x 2/40s / 124 x 56,Woven,,,Canvas,cotton,100,,,,,100,225,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,2/40s x 2/40s / 124 x 56,,,,,,,,,,,
WIN03300412,IN023,India,DINESH EXPORTS,60sf x 60sf / 114 x 84,Woven,,,Oxford,rayon ,100,,,,,100,85,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,60sf x 60sf / 114 x 84,,,,,,,,,,,
WIN03300413,IN023,India,DINESH EXPORTS,60sf x 60sf / 64 x 56,Woven,,,Twill,rayon ,100,,,,,100,50,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,60sf x 60sf / 64 x 56,,,,,,,,,,,
WIN03300414,IN023,India,DINESH EXPORTS,Modal 60M x 60M / 104 x 84,Woven,,,Twill,Modal,100,,,,,100,80,gsm,"56""",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,Modal 60M x 60M / 104 x 84,,,,,,,,,,,
WIN03300415,IN023,India,DINESH EXPORTS,60sf x 60sf / 112 x 80,Woven,,,Twill,rayon ,100,,,,,100,80,gsm,"56""",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,60sf x 60sf / 112 x 80,,,,,,,,,,,
WIN03300416,IN023,India,DINESH EXPORTS,60sf x 60sf / 130 x 66,Woven,,,Twill,rayon ,100,,,,,100,80,gsm,"56""",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,60sf x 60sf / 130 x 66,,,,,,,,,,,
WIN03300417,IN023,India,DINESH EXPORTS,Modal 60M x 60M / 132 x 72,Woven,,,Twill,Modal,100,,,,,100,85,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,Modal 60M x 60M / 132 x 72,,,,,,,,,,,
WIN03300418,IN023,India,DINESH EXPORTS,30sf x 30sf / 68 x 64,Woven,,,Twill,rayon ,100,,,,,100,110,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,30sf x 30sf / 68 x 64,,,,,,,,,,,
WIN03300419,IN023,India,DINESH EXPORTS,30sf x 30sf / 92 x 64,Woven,,,Twill,rayon ,100,,,,,100,130,gsm,56'',inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,30sf x 30sf / 92 x 64,,,,,,,,,,,
WIN03300420,IN023,India,DINESH EXPORTS,40sf x 40sf / 124 x 92,Woven,,,Twill,rayon ,100,,,,,100,135,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,40sf x 40sf / 124 x 92,,,,,,,,,,,
WIN03300421,IN023,India,DINESH EXPORTS,40sf x 40sf / 132 x 72,Woven,,,Twill,rayon ,100,,,,,100,130,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,40sf x 40sf / 132 x 72,,,,,,,,,,,
WIN03300422,IN023,India,DINESH EXPORTS,40sf x 40sf / 132 x 92,Woven,,,Twill,rayon ,100,,,,,100,140,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,40sf x 40sf / 132 x 92,,,,,,,,,,,
WIN03300423,IN023,India,DINESH EXPORTS,40sf x 40sf / 132 x 72,Woven,,,Twill,rayon ,100,,,,,100,130,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,40sf x 40sf / 132 x 72,,,,,,,,,,,
WIN03300424,IN023,India,DINESH EXPORTS,2/40sf x 20sf / 56 x 52,Woven,,,Twill,rayon ,100,,,,,100,135,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,2/40sf x 20sf / 56 x 52,,,,,,,,,,,
WIN03300425,IN023,India,DINESH EXPORTS,2/40sf x 20sf / 72 x 64,Woven,,,Twill,rayon ,100,,,,,100,170,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,2/40sf x 20sf / 72 x 64,,,,,,,,,,,
WIN03300426,IN023,India,DINESH EXPORTS,60Ten x 60Ten/ 124 x 80,Woven,,,Twill,Modal,100,,,,,100,85,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,60Ten x 60Ten/ 124 x 80,,,,,,,,,,,
WIN03300427,IN023,India,DINESH EXPORTS,40 ten x 40 ten / 148 x 72,Woven,,,Twill,Modal,100,,,,,100,140,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,40 ten x 40 ten / 148 x 72,,,,,,,,,,,
WIN03300428,IN023,India,DINESH EXPORTS,30Ten x 30Ten / 112 x 72,Woven,,,Twill,Modal,100,,,,,100,140,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,30Ten x 30Ten / 112 x 72,,,,,,,,,,,
WIN03300429,IN023,India,DINESH EXPORTS,30Ten x 30Ten / 124 x 72,Woven,,,Twill,Modal,100,,,,,100,165,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,30Ten x 30Ten / 124 x 72,,,,,,,,,,,
WIN03300430,IN023,India,DINESH EXPORTS,30Ten x 30Ten / 124 x 72,Woven,,,Twill,Modal,100,,,,,100,165,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,30Ten x 30Ten / 124 x 72,,,,,,,,,,,
WIN03300431,IN023,India,DINESH EXPORTS,20Ten x 20 Ten / 112 x 64,Woven,,,Twill,Modal,100,,,,,100,220,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,20Ten x 20 Ten / 112 x 64,,,,,,,,,,,
WIN03300432,IN023,India,DINESH EXPORTS,60 x 60 / 64 x 54,Woven,,,Plain Weave,cotton,100,,,,,100,50,gsm,"56""",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,60 x 60 / 64 x 54,,,,,,,,,,,
WIN03300433,IN023,India,DINESH EXPORTS,60 x 60 / 76 x 60,Woven,,,Plain Weave,cotton,100,,,,,100,55,gsm,"56""",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,60 x 60 / 76 x 60,,,,,,,,,,,
WIN03300434,IN023,India,DINESH EXPORTS,60 x 60 Lurex / 92 x 72 ,Woven,,,Plain Weave,cotton,100,,,,,100,70,gsm,"56""",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,60 x 60 Lurex / 92 x 72 ,,,,,,,,,,,
WIN03300435,IN023,India,DINESH EXPORTS,60 x 60 / 92 x 88,Woven,,,Cambric,cotton,100,,,,,100,75,gsm,"56""",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,60 x 60 / 92 x 88,,,,,,,,,,,
WIN03300436,IN023,India,DINESH EXPORTS,60 x 60 / 92 x 104,Woven,,,Cambric,cotton,100,,,,,100,80,gsm,56'',inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,60 x 60 / 92 x 104,,,,,,,,,,,
WIN03300437,IN023,India,DINESH EXPORTS,60 x 60 / 104 x 100,Woven,,,Cambric,cotton,100,,,,,100,85,gsm,56'',inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,60 x 60 / 104 x 100,,,,,,,,,,,
WIN03300438,IN023,India,DINESH EXPORTS,60 x 60 / 112 x 88,Woven,,,Cambric,cotton,100,,,,,100,85,gsm,56'',inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,60 x 60 / 112 x 88,,,,,,,,,,,
WIN03300439,IN023,India,DINESH EXPORTS,60 x 60 / 123 x 80,Woven,,,Cambric,cotton,100,,,,,100,90,gsm,56'',inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,60 x 60 / 123 x 80,,,,,,,,,,,
WIN03300440,IN023,India,DINESH EXPORTS,60 x 60 / 132 x 100,Woven,,,Cambric,cotton,100,,,,,100,100,gsm,56'',inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,60 x 60 / 132 x 100,,,,,,,,,,,
WIN03300441,IN023,India,DINESH EXPORTS,60 x 60 / 148 x 90,Woven,,,Cambric,cotton,100,,,,,100,100,gsm,56'',inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,60 x 60 / 148 x 90,,,,,,,,,,,
WIN03300442,IN023,India,DINESH EXPORTS,50 x 50 / 84 x 72,Woven,,,Poplin,cotton,100,,,,,100,80,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,50 x 50 / 84 x 72,,,,,,,,,,,
WIN03300443,IN023,India,DINESH EXPORTS,50 x 50 / 92 x 80,Woven,,,Poplin,cotton,100,,,,,100,85,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,50 x 50 / 92 x 80,,,,,,,,,,,
WIN03300444,IN023,India,DINESH EXPORTS,50 x 50 / 104 x 100,Woven,,,Poplin,cotton,100,,,,,100,105,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,50 x 50 / 104 x 100,,,,,,,,,,,
WIN03300445,IN023,India,DINESH EXPORTS,50 x 50 / 132 x 72,Woven,,,Poplin,cotton,100,,,,,100,105,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,50 x 50 / 132 x 72,,,,,,,,,,,
WIN03300446,IN023,India,DINESH EXPORTS,50 x 50 / 144 x 80,Woven,,,Poplin,cotton,100,,,,,100,95,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,50 x 50 / 144 x 80,,,,,,,,,,,
WIN03300447,IN023,India,DINESH EXPORTS,,Woven,,,,cotton,100,,,,,100,,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,,,,,,,,,,,,
WIN03300448,IN023,India,DINESH EXPORTS,,Woven,,,,cotton,100,,,,,100,,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,,,,,,,,,,,,
WIN03300449,IN023,India,DINESH EXPORTS,,Woven,,,,cotton,100,,,,,100,,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,,,,,,,,,,,,
WIN03300450,IN023,India,DINESH EXPORTS,,Woven,,,,cotton,100,,,,,100,,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,,,,,,,,,,,,
WIN03300451,IN023,India,DINESH EXPORTS,,Woven,,,,cotton,100,,,,,100,,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,,,,,,,,,,,,
WIN03300452,IN023,India,DINESH EXPORTS,,Woven,,,,cotton,100,,,,,100,,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,,,,,,,,,,,,
WIN03600382,IN036,India,A TO Z,Summer Cool,Woven,,,Crepe,polyester,100,,,,,100,90,gsm,"44""",inches,85,1.31,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,Yes,90 gsm Poly Crepe Summer Cool,,,,,,,,,,,
WIN03600463,IN023,India,DINESH EXPORTS,60 x 60 / 92 x 72,Woven,,,Twill,cotton,100,,,,,100,,gsm,56'',inches,,,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,Yes,60 x 60  / 92 x 72 Twill 2/ 2,,,,,,,,,,,
WIN03600464,IN023,India,DINESH EXPORTS,60 x 60 / 92 x 72,Woven,,,Twill,cotton,100,,,,,100,,gsm,56'',inches,,,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,Yes,60 x 60  / 92 x 72 Twill 2/ 2,,,,,,,,,,,
WIN03600465,IN023,India,DINESH EXPORTS,60 x 60 / 104 x 88,Woven,,,Twill,cotton,100,,,,,100,,gsm,56'',inches,,,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,Yes,60 x 60 104 x 88 twill 2/ 2 ,,,,,,,,,,,
WIN03600466,IN023,India,DINESH EXPORTS,50 x 50/132 x 80,Woven,,,Drill,cotton,100,,,,,100,,gsm,56'',inches,,,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,Yes,50 x 50 / 132 x 80,,,,,,,,,,,
WIN03600467,IN023,India,DINESH EXPORTS,50 x 50 / 165 x 104,Woven,,,Drill,cotton,100,,,,,100,,gsm,56'',inches,,,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,Yes,50 x 50 / 165 x 104 ,,,,,,,,,,,
WIN03600468,IN023,India,DINESH EXPORTS,50 x 50 / 165 x 104,Woven,,,Twill,cotton,100,,,,,100,,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,50 x 50 / 165 x 104,,,,,,,,,,,
WIN03600469,IN023,India,DINESH EXPORTS,40 x 40 / 84 x 82 ,Woven,,,Twill,cotton,100,,,,,100,,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,40 x 40 / 84 x 82 ,,,,,,,,,,,
WIN03600470,IN023,India,DINESH EXPORTS,40 x 40 / 108 x 74,Woven,,,Twill,cotton,100,,,,,100,,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,40 x40 / 108 x 74,,,,,,,,,,,
WIN03600471,IN023,India,DINESH EXPORTS,40 x 40 / 112 x 80,Woven,,,Drill,cotton,100,,,,,100,,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,40 x 40 / 112 x 80,,,,,,,,,,,
WIN03600472,IN023,India,DINESH EXPORTS,40 x  40 / 124 x 64 ,Woven,,,Drill,cotton,100,,,,,100,,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,40 x 40 / 124 x 64,,,,,,,,,,,
WIN03600473,IN023,India,DINESH EXPORTS,40 x 40 / 132 x 72,Woven,,,Drill,cotton,100,,,,,100,,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,40 x 40 / 132 x 72,,,,,,,,,,,
WIN03600474,IN023,India,DINESH EXPORTS,40 x 40 / 132 x 80,Woven,,,Twill,cotton,100,,,,,100,,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,40 x 40 / 132 x 80,,,,,,,,,,,
WIN03600475,IN023,India,DINESH EXPORTS,40 x 40 / 144 x 80,Woven,,,Twill,cotton,100,,,,,100,,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,40 x 40 / 144 x 80,,,,,,,,,,,
WIN03600476,IN023,India,DINESH EXPORTS,40 x 40 / 132 x 100,Woven,,,Drill,cotton,100,,,,,100,,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,40 x 40 / 132 x 100,,,,,,,,,,,
WIN03600477,IN023,India,DINESH EXPORTS,40 x 40  /144 x 100,Woven,,,Drill,cotton,100,,,,,100,,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,40 x 40  /144 x 100,,,,,,,,,,,
WIN03600478,IN023,India,DINESH EXPORTS,40 x 40 / 152 x 96,Woven,,,Drill,cotton,100,,,,,100,,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,40 x 40 / 152 x 96,,,,,,,,,,,
WIN03600479,IN023,India,DINESH EXPORTS,40 x40 / 72 x 64,Woven,,,Twill,cotton,100,,,,,100,,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,40 x 40 / 72 x 64,,,,,,,,,,,
WIN03600480,IN023,India,DINESH EXPORTS,30 x 30 / 92 x 64 ,Woven,,,Twill,cotton,100,,,,,100,,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,30 x 30 / 92 x 64,,,,,,,,,,,
WIN03600481,IN023,India,DINESH EXPORTS,30 x30 / 92 x 64,Woven,,,Twill,cotton,100,,,,,100,,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,30 x30 / 92 x 64,,,,,,,,,,,
WIN03600482,IN023,India,DINESH EXPORTS,30 x 30 / 92 x 68,Woven,,,Twill,cotton,100,,,,,100,,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,30 x30 / 92 x 68,,,,,,,,,,,
WIN03600483,IN023,India,DINESH EXPORTS,30 x30 / 112 x 64,Woven,,,Drill,cotton,100,,,,,100,,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,30 x 30 / 112 x 64,,,,,,,,,,,
WIN03600484,IN023,India,DINESH EXPORTS,30 x 30 / 100 x80,Woven,,,Twill,cotton,100,,,,,100,,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,30 x30 / 100 x 80,,,,,,,,,,,
WIN03600485,IN023,India,DINESH EXPORTS,30 x 30 / 124 x 64,Woven,,,Drill  Indigo,cotton,100,,,,,100,,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,30 x 30 / 124 x 64,,,,,,,,,,,
WIN03600486,IN023,India,DINESH EXPORTS,30 x 30 / 124 x 72 ,Woven,,,Drill Peached,cotton,100,,,,,100,,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,30 x30 / 124 x 72,,,,,,,,,,,
WIN03600487,IN023,India,DINESH EXPORTS,30 x 30 / 132 x 72,Woven,,,Drill,cotton,100,,,,,100,,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,30 x 30 / 132 x 72,,,,,,,,,,,
WIN03600488,IN023,India,DINESH EXPORTS,30 x 20 / 132 x 68 ,Woven,,,Drill,cotton,100,,,,,100,,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,30 x30 / 132 x 68,,,,,,,,,,,
WIN03600489,IN023,India,DINESH EXPORTS,30 x 16 / 132 x 76,Woven,,,Broken Twill,cotton,100,,,,,100,,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,30 x 16 / 132 x 76,,,,,,,,,,,
WIN03600490,IN023,India,DINESH EXPORTS,2/30 x 16 / 68 x 44,Woven,,,Twill,cotton,100,,,,,100,,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,2/30 x 16 / 68 x 64,,,,,,,,,,,
WIN03600491,IN023,India,DINESH EXPORTS,30 x 30 / 132 x 72,Woven,,,Drill,cotton,100,,,,,100,,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,30 x 30 / 132 x 72,,,,,,,,,,,
WIN03600492,IN023,India,DINESH EXPORTS,30 x 30 / 132 x 88,Woven,,,Drill,cotton,100,,,,,100,,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,30 x 30 / 132 x 88,,,,,,,,,,,
WIN03600493,IN023,India,DINESH EXPORTS,30 x 30 / 140 x 76,Woven,,,Drill,cotton,100,,,,,100,,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,30 x 30 / 140 x 76,,,,,,,,,,,
WIN03600494,IN023,India,DINESH EXPORTS,30 x 30 / 144 x 80,Woven,,,Drill,cotton,100,,,,,100,,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,30 x 30 / 144 x 80,,,,,,,,,,,
WIN03600495,IN023,India,DINESH EXPORTS,70 x 70 / 144 x 120 ,Woven,,,Twill,cotton,100,,,,,100,,gsm,"54""",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,70 x 70 / 144 x 120 ,,,,,,,,,,,
WIN03600496,IN023,India,DINESH EXPORTS,80 x 80 / 116 x 78,Woven,,,Twill,cotton,100,,,,,100,,gsm,"54""",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,80 x 80 / 116 x 78,,,,,,,,,,,
WIN03600497,IN023,India,DINESH EXPORTS,80 x 80 / 160 x 96,Woven,,,Twill,cotton,100,,,,,100,,gsm,54'',inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,80 x 80 / 160 x 96,,,,,,,,,,,
WIN03600498,IN023,India,DINESH EXPORTS,20 x 20 / 100 x 52,Woven,,,,cotton,100,,,,,100,190,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,"Canvas 20x20/100x52 -58"" always available",,,,,,,,,,,
WIN03600499,IN023,India,DINESH EXPORTS,10 x 10 / 76 x 40,Woven,,,,cotton,100,,,,,100,290,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,"Canvas 10x10/76x40 - 58"" always available",,,,,,,,,,,
WIN03600500,IN023,India,DINESH EXPORTS,30 x30 / 124 x 64,Woven,,,,cotton,100,,,,,100,160,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,"Twill 30x30/124x64 -58"" always available",,,,,,,,,,,
WIN03600501,IN023,India,DINESH EXPORTS,16 x 16 / 92 x 52,Woven,,,,cotton,100,,,,,100,225,gsm,"58",inches,,0.00,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,"Canvas 16x16/92x52- 58"" always available",,,,,,,,,,,
WIN03600502,IN032,India,ARTEX TRENDS,18980,Woven,,,Chambray,cotton,75,linen,25,,,100,115,gsm,58'',inches,165.00,2.54,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,30x30+30Linen / 72 x 64,,,,,,,,,,,
WIN03600503,IN032,India,ARTEX TRENDS,18969,Woven,,,Chambray,cotton,100,,,,,100,100,gsm,"58",inches,175.00,2.69,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,60s GizaX60Giza/ 132x 100,,,,,,,,,,,
WIN03600504,IN032,India,ARTEX TRENDS,80034/9,Woven,,,Fil-A-Fil,cotton,100,,,,,100,135,gsm,"58",inches,155.00,2.38,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,40 x 40  / 132 x 84,,,,,,,,,,,
WIN03600505,IN032,India,ARTEX TRENDS, Slub Chambray,Woven,,,Chambray,cotton,100,,,,,100,130,gsm,"58",inches,150.00,2.31,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,50 x 20 / 112 x 56,,,,,,,,,,,
WIN03600506,IN032,India,ARTEX TRENDS,Corbon Check,Woven,,,Plain Check,cotton,100,,,,,100,135,gsm,"58",inches,155.00,2.38,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,Carbon Checks 40 x 40 / 132 x 84,,,,,,,,,,,
WIN03600507,IN032,India,ARTEX TRENDS,Cambric Print,Woven,,,Cambric,cotton,100,,,,,100,75,gsm,"54""",inches,155.00,2.38,meter,Stock,0,,0,,Stock /Fresh Fabric Manufacturer,No,60s x  60s / 92 x 88,,,,,,,,,,,
